"id","Orientation_date","Orientation_time","freq_down","freq_down_unit","batchnumber","true_value_Lon","true_value_lat","true_value_error","result_confidence","false_value_lon","false_value_lat","freq_up","freq_up_unit","multiAccessMode","modulate_pattern","code_Mode","bandwidth","bandwidth_unit","sps","sps_unit","medial_sat_norad","adjacent_sat_norad1","adjacent_sat_norad2"
"923744","2020/6/14","00:08:36","266950","KHz","3350","147.202","14.528","26461","0.740","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19206","Hz","25258","44637","40892"
"923746","2020/6/14","00:03:01","268350","KHz","9975","107.761","6.583","4001","0.960","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923747","2020/6/14","00:09:18","261925","KHz","110","130.809","-12.397","8937","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923748","2020/6/14","00:09:00","268350","KHz","2915","129.731","24.773","63000","0.380","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923749","2020/6/14","00:09:17","268350","KHz","2976","103.790","1.351","11860","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923750","2020/6/14","00:07:01","266950","KHz","9972","129.755","24.871","1000","0.990","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923751","2020/6/14","00:03:12","268350","KHz","9979","129.775","24.914","1000","0.990","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923752","2020/6/14","00:03:16","268350","KHz","9978","103.827","1.377","5001","0.950","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923753","2020/6/14","00:09:47","261925","KHz","110","130.810","-12.476","8932","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923754","2020/6/14","00:10:20","261925","KHz","110","130.810","-12.478","8932","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923755","2020/6/14","00:09:50","252050","KHz","1432","147.182","14.241","25922","0.750","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923756","2020/6/14","00:08:13","266950","KHz","9972","129.766","24.923","3000","0.970","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923757","2020/6/14","00:09:02","266950","KHz","3339","129.735","24.796","63839","0.370","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923758","2020/6/14","00:09:11","266950","KHz","3349","144.660","13.351","23379","0.770","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923759","2020/6/14","00:10:03","266950","KHz","3349","144.660","13.350","23379","0.770","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923760","2020/6/14","00:10:41","266950","KHz","3350","147.193","14.492","26502","0.740","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923761","2020/6/14","00:10:49","261925","KHz","110","130.810","-12.491","8935","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923762","2020/6/14","00:09:31","268350","KHz","2915","129.719","24.683","62925","0.380","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923763","2020/6/14","00:10:46","268350","KHz","2915","129.717","24.671","62925","0.380","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923764","2020/6/14","00:10:50","268350","KHz","2976","103.795","1.364","11881","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
